family,model,n_seeds,n_test,roc_auc,roc_auc_std,fpr,tpr,tpr_std
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.06,0.975,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.07,0.975,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.08,0.981,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.09,0.986,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.1,0.988,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.11,0.989,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.12,0.99,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.13,0.991,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.14,0.991,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.15,0.991,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.16,0.993,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.17,0.993,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.18,0.993,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.19,0.993,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.2,0.993,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.21,0.993,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.22,0.994,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.23,0.994,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.24,0.994,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.25,0.994,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.26,0.994,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.27,0.994,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.28,0.995,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.29,0.995,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.3,0.995,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.31,0.995,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.32,0.995,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.33,0.995,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.34,0.995,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.35000000000000003,0.996,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.36,0.996,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.37,0.996,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.38,0.997,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.39,0.997,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.4,0.998,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.41000000000000003,0.998,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.42,0.998,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.43,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.44,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.45,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.46,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.47000000000000003,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.48,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.49,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.5,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.51,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.52,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.53,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.54,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.55,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.56,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.5700000000000001,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.58,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.59,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.6,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.61,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.62,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.63,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.64,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.65,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.66,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.67,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.68,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.6900000000000001,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.7000000000000001,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.71,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.72,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.73,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.74,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.75,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.76,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.77,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.78,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.79,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.8,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.81,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.8200000000000001,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.8300000000000001,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.84,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.85,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.86,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.87,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.88,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.89,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.9,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.91,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.92,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.93,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.9400000000000001,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.9500000000000001,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.96,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.97,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.98,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,0.99,1.0,0.0
svm,photonic_hybrid_svm_amplitude,1,2000,0.994851,0.0,1.0,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.0,0.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.01,0.969,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.02,0.97,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.03,0.971,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.04,0.974,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.05,0.978,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.06,0.978,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.07,0.979,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.08,0.979,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.09,0.981,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.1,0.982,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.11,0.983,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.12,0.985,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.13,0.985,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.14,0.985,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.15,0.986,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.16,0.989,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.17,0.99,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.18,0.991,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.19,0.991,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.2,0.991,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.21,0.992,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.22,0.992,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.23,0.992,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.24,0.993,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.25,0.993,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.26,0.994,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.27,0.995,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.28,0.995,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.29,0.995,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.3,0.996,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.31,0.996,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.32,0.996,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.33,0.997,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.34,0.997,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.35000000000000003,0.997,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.36,0.997,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.37,0.998,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.38,0.999,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.39,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.4,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.41000000000000003,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.42,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.43,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.44,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.45,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.46,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.47000000000000003,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.48,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.49,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.5,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.51,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.52,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.53,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.54,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.55,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.56,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.5700000000000001,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.58,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.59,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.6,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.61,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.62,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.63,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.64,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.65,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.66,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.67,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.68,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.6900000000000001,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.7000000000000001,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.71,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.72,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.73,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.74,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.75,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.76,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.77,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.78,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.79,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.8,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.81,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.8200000000000001,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.8300000000000001,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.84,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.85,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.86,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.87,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.88,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.89,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.9,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.91,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.92,1.0,0.0
svm,photonic_state_svm_angle,1,2000,0.9949690000000001,0.0,0.93,1.0,0.0
