family,model,n_seeds,n_test,roc_auc,roc_auc_std,fpr,tpr,tpr_std
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.62,0.997928026172301,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.63,0.9979825517993457,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.64,0.9980370774263904,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.65,0.9980916030534351,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.66,0.9981461286804798,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.67,0.9982006543075246,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.68,0.9982551799345692,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.6900000000000001,0.9983097055616139,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.7000000000000001,0.9983642311886587,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.71,0.9984187568157034,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.72,0.9984732824427481,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.73,0.9985278080697928,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.74,0.9985823336968375,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.75,0.9986368593238822,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.76,0.9986913849509269,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.77,0.9987459105779717,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.78,0.9988004362050164,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.79,0.998854961832061,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.8,0.9989094874591058,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.81,0.9989640130861505,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.8200000000000001,0.9990185387131952,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.8300000000000001,0.9990730643402399,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.84,0.9991275899672846,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.85,0.9991821155943293,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.86,0.999236641221374,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.87,0.9992911668484188,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.88,0.9993456924754635,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.89,0.9994002181025082,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.9,0.9994547437295529,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.91,0.9995092693565976,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.92,0.9995637949836423,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.93,0.999618320610687,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.9400000000000001,0.9996728462377318,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.9500000000000001,0.9997273718647764,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.96,0.9997818974918211,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.97,0.9998364231188659,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.98,0.9998909487459106,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,0.99,0.9999454743729553,0.0
knn,state_knn_amplitude,1,2000,0.9912115000000001,0.0,1.0,1.0,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.0,0.0,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.01,0.8772727272727273,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.02,0.991,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.03,0.9918333333333333,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.04,0.992969696969697,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.05,0.9941818181818182,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.06,0.9953939393939394,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.07,0.9960213903743316,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.08,0.9960641711229946,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.09,0.9961069518716578,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.1,0.9961497326203208,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.11,0.996192513368984,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.12,0.9962352941176471,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.13,0.9962780748663101,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.14,0.9963208556149733,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.15,0.9963636363636363,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.16,0.9964064171122995,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.17,0.9964491978609625,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.18,0.9964919786096257,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.19,0.9965347593582887,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.2,0.9965775401069519,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.21,0.9966203208556149,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.22,0.9966631016042781,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.23,0.9967058823529412,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.24,0.9967486631016043,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.25,0.9967914438502674,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.26,0.9968342245989305,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.27,0.9968770053475936,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.28,0.9969197860962566,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.29,0.9969625668449198,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.3,0.9970053475935828,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.31,0.997048128342246,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.32,0.9970909090909091,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.33,0.9971336898395722,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.34,0.9971764705882353,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.35000000000000003,0.9972192513368984,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.36,0.9972620320855615,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.37,0.9973048128342246,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.38,0.9973475935828877,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.39,0.9973903743315508,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.4,0.9974331550802139,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.41000000000000003,0.9974759358288771,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.42,0.9975187165775401,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.43,0.9975614973262033,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.44,0.9976042780748663,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.45,0.9976470588235294,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.46,0.9976898395721925,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.47000000000000003,0.9977326203208556,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.48,0.9977754010695187,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.49,0.9978181818181818,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.5,0.9978609625668449,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.51,0.997903743315508,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.52,0.9979465240641712,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.53,0.9979893048128342,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.54,0.9980320855614974,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.55,0.9980748663101604,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.56,0.9981176470588236,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.5700000000000001,0.9981604278074866,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.58,0.9982032085561497,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.59,0.9982459893048128,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.6,0.9982887700534759,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.61,0.9983315508021391,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.62,0.9983743315508021,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.63,0.9984171122994653,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.64,0.9984598930481283,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.65,0.9985026737967915,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.66,0.9985454545454545,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.67,0.9985882352941177,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.68,0.9986310160427807,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.6900000000000001,0.9986737967914439,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.7000000000000001,0.9987165775401069,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.71,0.99875935828877,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.72,0.9988021390374332,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.73,0.9988449197860962,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.74,0.9988877005347594,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.75,0.9989304812834224,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.76,0.9989732620320856,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.77,0.9990160427807486,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.78,0.9990588235294118,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.79,0.9991016042780748,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.8,0.999144385026738,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.81,0.9991871657754011,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.8200000000000001,0.9992299465240642,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.8300000000000001,0.9992727272727273,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.84,0.9993155080213904,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.85,0.9993582887700535,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.86,0.9994010695187165,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.87,0.9994438502673797,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.88,0.9994866310160427,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.89,0.9995294117647059,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.9,0.9995721925133689,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.91,0.9996149732620321,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.92,0.9996577540106952,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.93,0.9997005347593583,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.9400000000000001,0.9997433155080214,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.9500000000000001,0.9997860962566845,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.96,0.9998288770053476,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.97,0.9998716577540107,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.98,0.9999144385026738,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,0.99,0.9999572192513368,0.0
knn,state_knn_zz,1,2000,0.9919870000000001,0.0,1.0,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.0,0.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.01,0.615,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.02,0.694,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.03,0.786,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.04,0.901,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.05,0.902,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.06,0.934,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.07,0.938,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.08,0.95,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.09,0.951,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.1,0.956,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.11,0.959,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.12,0.961,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.13,0.967,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.14,0.969,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.15,0.97,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.16,0.97,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.17,0.97,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.18,0.97,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.19,0.97,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.2,0.97,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.21,0.97,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.22,0.97,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.23,0.985,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.24,0.994,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.25,0.995,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.26,0.995,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.27,0.996,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.28,0.996,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.29,0.996,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.3,0.996,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.31,0.998,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.32,0.998,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.33,0.998,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.34,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.35000000000000003,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.36,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.37,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.38,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.39,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.4,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.41000000000000003,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.42,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.43,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.44,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.45,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.46,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.47000000000000003,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.48,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.49,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.5,0.999,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.51,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.52,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.53,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.54,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.55,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.56,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.5700000000000001,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.58,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.59,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.6,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.61,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.62,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.63,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.64,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.65,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.66,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.67,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.68,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.6900000000000001,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.7000000000000001,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.71,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.72,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.73,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.74,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.75,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.76,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.77,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.78,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.79,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.8,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.81,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.8200000000000001,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.8300000000000001,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.84,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.85,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.86,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.87,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.88,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.89,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.9,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.91,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.92,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.93,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.9400000000000001,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.9500000000000001,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.96,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.97,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.98,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,0.99,1.0,0.0
svm,hybrid_svm_angle,1,2000,0.973707,0.0,1.0,1.0,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.0,0.0,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.01,0.038,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.02,0.128,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.03,0.42,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.04,0.476,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.05,0.484,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.06,0.541,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.07,0.602,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.08,0.65,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.09,0.731,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.1,0.772,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.11,0.774,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.12,0.829,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.13,0.872,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.14,0.911,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.15,0.931,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.16,0.952,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.17,0.954,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.18,0.954,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.19,0.954,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.2,0.954,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.21,0.954,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.22,0.954,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.23,0.954,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.24,0.956,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.25,0.956,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.26,0.956,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.27,0.956,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.28,0.956,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.29,0.956,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.3,0.957,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.31,0.957,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.32,0.957,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.33,0.957,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.34,0.959,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.35000000000000003,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.36,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.37,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.38,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.39,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.4,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.41000000000000003,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.42,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.43,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.44,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.45,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.46,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.47000000000000003,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.48,0.961,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.49,0.962,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.5,0.962,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.51,0.964,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.52,0.965,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.53,0.965,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.54,0.965,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.55,0.965,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.56,0.965,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.5700000000000001,0.965,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.58,0.965,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.59,0.965,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.6,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.61,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.62,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.63,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.64,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.65,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.66,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.67,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.68,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.6900000000000001,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.7000000000000001,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.71,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.72,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.73,0.966,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.74,0.968,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.75,0.97,0.0
svm,hybrid_svm_amplitude,1,2000,0.910153,0.0,0.76,0.97,0.0
